weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
pistol_beretta93r,pistol_beretta93r_upgraded,,1000,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_python,pistol_python_upgraded,,500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_fiveseven,pistol_fiveseven_upgraded,,1100,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_kard,pistol_kard_upgraded,,500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_judge,pistol_judge_upgraded,,500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_rnma,pistol_rnma_upgraded,,500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
smg_ak74u,smg_ak74u_upgraded,,1200,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_evoskorpion,smg_evoskorpion_upgraded,,1500,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_mp40_t6,smg_mp40_t6_upgraded,,1300,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_qcw05,smg_qcw05_upgraded,,1200,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_pdw57,smg_pdw57_upgraded,,1200,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_mp5k,smg_mp5k_upgraded,,1000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_uzi,smg_uzi_upgraded,,1500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
lmg_hamr,lmg_hamr_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
lmg_lsat,lmg_lsat_upgraded,,2000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
ar_fnfal,ar_fnfal_upgraded,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_scar,ar_scar_upgraded,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_stg44,ar_stg44_upgraded,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_type95,ar_type95_upgraded,,1200,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_m14,ar_m14_upgraded,,500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_saritch,ar_saritch_upgraded,,500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_ak47,ar_ak47_upgraded,,500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_an94,ar_an94_upgraded,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_tar21,ar_tar21_upgraded,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_xm8,ar_xm8_upgraded,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
shotgun_870mcs,shotgun_870mcs_upgraded,,900,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_ksg,shotgun_ksg_upgraded,,1200,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_srm1216,shotgun_srm1216_upgraded,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_rottweil72,shotgun_rottweil72_upgraded,,1500,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_saiga12,shotgun_saiga12_upgraded,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
sniper_ballista,sniper_ballista_upgraded,,500,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
sniper_svu,sniper_svu_upgraded,,1000,sniper,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
raygun_mark2,raygun_mark2_upgraded,,10000,wpck_ray,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,
bo3_galil,bo3_galil_upgraded,,2500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
bo3_m16,bo3_m16_upgraded,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
