weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
pistol_beretta93r,pistol_beretta93r_upgraded,,1000,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_python,pistol_python_upgraded,,500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_fiveseven,pistol_fiveseven_upgraded,,1100,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_kard,pistol_kard_upgraded,,500,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_judge,pistol_judge_upgraded,,500,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_rnma,pistol_rnma_upgraded,,500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
makarov,makarov_upgraded,,500,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
smg_ak74u,smg_ak74u_upgraded,,1200,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_evoskorpion,smg_evoskorpion_upgraded,,1500,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_qcw05,smg_qcw05_upgraded,,1200,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_pdw57,smg_pdw57_upgraded,,1200,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_mp5k,smg_mp5k_upgraded,,1000,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_uzi,smg_uzi_upgraded,,1500,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
lmg_hamr,lmg_hamr_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
lmg_lsat,lmg_lsat_upgraded,,2000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
ar_fnfal,ar_fnfal_upgraded,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_scar,ar_scar_upgraded,,1500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_type95,ar_type95_upgraded,,1200,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_m14,ar_m14_upgraded,,500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_saritch,ar_saritch_upgraded,,500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_ak47,ar_ak47_upgraded,,500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_an94,ar_an94_upgraded,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_tar21,ar_tar21_upgraded,,1200,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_xm8,ar_xm8_upgraded,,1200,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
commando,commando_upgraded,,1500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
shotgun_870mcs,shotgun_870mcs_upgraded,,900,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_ksg,shotgun_ksg_upgraded,,1200,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_srm1216,shotgun_srm1216_upgraded,,1500,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_rottweil72,shotgun_rottweil72_upgraded,,500,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_saiga12,shotgun_saiga12_upgraded,,1500,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
sniper_ballista,sniper_ballista_upgraded,,500,sniper,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
sniper_svu,sniper_svu_upgraded,,1000,sniper,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
makarov,makarov_upgraded,,500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
ak74u,ak74u_upgraded,,1500,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_mp5k,smg_mp5k_upgraded,,1000,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
mw2_mp5k,mw2_mp5k_upgraded,,1000,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
commando,commando_upgraded,,1500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
ak74u,ak74u_upgraded,,1500,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
bo1_g11,bo1_g11_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
bo1_enfield,bo1_enfield_upgraded,,1250,ar,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,ar,,, 
bo1_spectre,bo1_spectre_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
bo1_rpk,bo1_rpk_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
bo1_hk21,bo1_hk21_upgraded,,1250,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
bo1_l96a1,bo1_l96a1_upgraded,,1250,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
bo1_aug,bo1_aug_upgraded,,1250,ar,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,ar,,,
bo1_stoner63,bo1_stoner63_upgraded,,1250,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
bo1_kiparis,bo1_kiparis_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
bo1_famas,bo1_famas_upgraded,,1250,ar,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,ar,,,
bo1_stakeout,bo1_stakeout_upgraded,,1250,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
bo1_skorpion,bo1_skorpion_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
bo1_mpl,bo1_mpl_upgraded,,1250,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
