Name,FileSpec,Template,Loadspec,Secondary,VolumeGroup,VolMin,VolMax,DistMin,DistMaxDry,DistMaxWet,DryMaxCurve,WetMaxCurve,DryMinCurve,WetMinCurve,LimitCount,LimitType,EntityLimitCount,EntityLimitType,PitchMin,PitchMax,PriorityMin,PriorityMax,PriorityThresholdMin,PriorityThresholdMax,PanType,Storage,Looping,RandomizeType,Probability,StartDelay,ReverbSend,Duck,Pan,CenterSend,EnvelopMin,EnvelopMax,EnvelopPercent,OcclusionLevel,IsBig,DistanceLpf,FluxType,FluxTime,Subtitle,Doppler,Futz,ContextType,ContextValue,Compression,Timescale,IsMusic,FadeIn,FadeOut,Pauseable,StopOnEntDeath,Bus,FutzPatch,NeverPlayTwice,WiiUMono,IsCinematic,DuckGroup,DopplerScale,GPAD,GPADOnly
#  UIN - USER INTERFACE TEMPLATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIN_MOD,,,,,grp_menu,86,86,,,,,,,,2,oldest,,,0,0,100,100,0,1,2d,,,,,,0,,front,,,,,,,,,,,,,,,,,,,,no,,bus_ui,,,yes,,snp_never_duck,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#  UIN - USER INTERFACE TEMPLATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UIN_BUTTON_2D_MOD,,,,,grp_menu,86,86,,,,,,,,2,oldest,,,0,0,100,100,0,1,2d,,,,,,0,,front,,,,,,,,,,,,,,,,,,,,no,,bus_ui,,,yes,,snp_never_duck,,,
UIN_ALERT_2D_MOD,,,,,grp_alerts,67,67,,,,,,,,2,oldest,,,0,0,100,100,0,1,2d,,,,,,0,,front,,,,,,,,,,,,,,,,,,,,,,bus_ui,,,yes,,snp_alerts_gameplay,,yes,
UIN_IN_GAME_2D_MOD,,,,,grp_alerts,67,67,,,,,,,,2,oldest,,,0,0,100,100,0,1,2d,,,,,,0,,front,,,,,,,,,,,,,,,,,,,,,,bus_ui,,,yes,,snp_alerts_gameplay,,yes,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#  BIK - BINK FILE TEMPLATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#LM - 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIN_LR_MOD,,,,,grp_bink,93,93,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,0,,front,,,,,,,,,,,,,,,,,,,2000,no,,bus_movie,,,,yes,snp_movie,,,
CIN_C_MOD,,,,,grp_bink,96,96,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,65,,center,,,,,,,,,,,,,,,,,,,2000,no,,bus_movie,,,,yes,snp_movie,,,
CIN_S_MOD,,,,,grp_bink,93,93,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,0,,back,,,,,,,,,,,,,,,,,,,2000,no,,bus_movie,,,,yes,snp_movie,,,
CIN_LFE_MOD,,,,,grp_bink,96,96,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,,,lfe,,,,,,,,,,,,,,,,,,,2000,no,,bus_movie,,,,yes,snp_movie,,,
#LM - QUAD PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIN_QUAD_MOD,,,,,grp_bink,93,93,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,0,,quad,,,,,,,,,,,,,,,,,,,2000,no,,bus_movie,,,,yes,snp_movie,,,
#  IN GAME BINK  5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIN_LR_INGAME_MOD,,,,,grp_bink,93,93,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,0,,front,,,,,,,,,,,,,,,,,,,2000,yes,,bus_movie,,,,,snp_movie,,,
CIN_C_INGAME_MOD,,,,,grp_bink,96,96,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,0,,center,,,,,,,,,,,,,,,,,,,2000,yes,,bus_movie,,,,,snp_movie,,,
CIN_S_INGAME_MOD,,,,,grp_bink,93,93,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,0,,back,,,,,,,,,,,,,,,,,,,2000,yes,,bus_movie,,,,,snp_movie,,,
CIN_LFE_INGAME_MOD,,,,,grp_bink,96,96,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,0,,lfe,,,,,,,,,,,,,,,,,,,2000,yes,,bus_movie,,,,,snp_movie,,,
# IN GAME QUAD PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIN_QUAD_INGAME_MOD,,,,,grp_bink,93,93,,,,,,,,,,,,0,0,100,100,0,1,2d,streamed,,,,,0,,quad,,,,,,,,,,,,,,,,,,,2000,yes,,bus_movie,,,,,snp_movie,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#  AMB - AMBIENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMB_AMBIENCE_3D_MOD,,,,,grp_ambience,65,70,150,1100,,,,,,,,,,-50,50,50,60,0,1,3d,,,,,,0,,,,,,,0.1,,,,,,,,,,,yes,,,,,,bus_fx,,,yes,,snp_ambience,,,
AMB_AMBIENCE_AIR_2D_MOD,,,,,grp_air,60,60,,,,,,,,,,,,-50,50,50,60,0,1,2d,,,,,,0,,quad,,,,,0.1,,,,,,,,,,,yes,,,,,,bus_fx,,,yes,,snp_ambience,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#  EXPLOSION 3D TEMPLATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP_EXPLOSION_3D_MOD,,,,,grp_explosion,80,83,1000,10000,12000,,,,,2,priority,,,-150,150,60,95,0.25,1,3d,,,,,,40,exp_medium,,,300,1200,80,,yes,no,,,,,,,,,yes,,,,,,bus_fx,,,yes,,snp_explosion,,,
EXP_EXPLOSION_LFE_3D_MOD,,,,,grp_lfe,80,80,750,1400,,,,,,3,priority,,,0,0,60,95,0.25,1,3d,,,,,,,,lfe,,,,,0,no,no,,,,,,,,,yes,,,,,,bus_hdrfx,,,yes,,snp_explosion,,,
EXP_EXPLOSION_DEBRIS_3D_MOD,,,,,grp_impacts,82,85,100,500,500,,,,,3,priority,,,-182,300,5,75,0.25,0.75,3d,,,,,250,40,,,,50,200,65,0.3,no,no,,,,,,,,,yes,,,,,,bus_hdrfx,,,yes,,snp_explosion,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#  DST - DESTRUCTIBLE 3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DST_DESTRUCTIBLE_MOD,,,,,grp_destructible,88,91,100,1200,,,,,,4,priority,,,-182,165,10,55,0.25,1,3d,,,,,,60,,,,,,,0.2,,,,,,,,,,,,,,,,,bus_fx,,,yes,,snp_destructible,,,
DST_DESTRUCTIBLE_LFE_MOD,,,,,grp_lfe,80,80,100,300,300,,,,,4,priority,,,-182,165,10,55,0.25,1,3d,,,,,,,,lfe,,,,,0,,,,,,,,,,,,,,,,,bus_hdrfx,,,yes,,snp_destructible,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# PHY -  PHYSICS IMPACTS - 3D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
