weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
pistol_standard,pistol_standard_upgraded,,50,pistol,,0,,,FALSE,FALSE,TRUE,0,,FALSE,FALSE,pistol,TRUE,,
bo3_m1911,bo3_m1911_upgraded,,500,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,TRUE,TRUE,
bouncingbetty,,,1000,betty,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
cymbal_monkey,,,2000,monkey,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
frag_grenade,,,250,grenade,,250,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
knife,,,0,,,0,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
bowie_knife,,,3000,wpck_bowie,,,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
ray_gun,ray_gun_upgraded,,10000,wpck_ray,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,
tesla_gun,tesla_gun_upgraded,,10000,tesla,,,,,FALSE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,
zod_riotshield,zod_riotshield_upgraded,,500,,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,,
hero_gravityspikes_melee,hero_gravityspikes_melee,,500,,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,,
pistol_revolver38,pistol_revolver38_upgraded,,50,pistol,,0,,,FALSE,FALSE,TRUE,0,,FALSE,FALSE,pistol,TRUE,,
octobomb,octobomb_upgraded,,2000,octobomb,,0,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,grenade,,,
smg_sten,smg_sten_upgraded,,2000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
raygun_mark3,raygun_mark3_upgraded,,10000,ray3,,0,,,FALSE,FALSE,TRUE,1,,FALSE,FALSE,special,TRUE,TRUE,
ar_famas,ar_famas_upgraded,,5000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,reddot grip
smg_ppsh,smg_ppsh_upgraded,,5000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_thompson,smg_thompson_upgraded,,1750,smg,,,,,FALSE,FALSE,FALSE,,,FALSE,FALSE,smg,,,
thundergun,thundergun_upgraded,,10000,thundergun,,,,,FALSE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,
bo1_ks23,bo1_ks23_upgraded,,1000,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
bo1_g11,bo1_g11_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
bo1_enfield,bo1_enfield_upgraded,,1250,ar,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,ar,,, 
bo1_spectre,bo1_spectre_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
bo1_hk21,bo1_hk21_upgraded,,1250,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
bo1_rpk,bo1_rpk_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
bo1_l96a1,bo1_l96a1_upgraded,,1250,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
bo1_aug,bo1_aug_upgraded,,1250,ar,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,ar,,,
bo1_kiparis,bo1_kiparis_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
bo1_stakeout,bo1_stakeout_upgraded,,1250,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
bo1_skorpion,bo1_skorpion_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
bo1_mpl,bo1_mpl_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
commando,commando_upgraded,,1500,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
makarov,makarov_upgraded,,500,pistol,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
shotgun_870mcs,shotgun_870mcs_upgraded,,900,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_ksg,shotgun_ksg_upgraded,,1200,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_srm1216,shotgun_srm1216_upgraded,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_rottweil72,shotgun_rottweil72_upgraded,,500,shotgun,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_saiga12,shotgun_saiga12_upgraded,,1500,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
sniper_ballista,sniper_ballista_upgraded,,500,sniper,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
ar_fnfal,ar_fnfal_upgraded,,1200,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
